RecordID,Address,Master_Property Name,Master_Property Type,Master_Ownership Type,Master_Units_50+,Master_Building Count_50+,Master_Floor Count,Master_Monthly Association Fees,Leasing Company,Leasing Company Contact Name,Leasing Company Phone,Owner,Cleaned Owner,Property Manager,Cleaned Property Manager,Developer Name,Cleaned Developer,Master_Senior Flag,Master_Student Flag,Master_Gated HOA Flag,Bulk Flag,Bulk Package Type,% Bulk Overall,LLM_Property Name,LLM_Property URL,LLM_Address,LLM_Property Contact #1,LLM_Monthly HOA/COA fees,Consolidated Macro Amenities,Consolidated Luxury Amenities Count
605,,Barton Village - Flats I,SFU,HOA,385,1,1,,,,,,,,,,,,,,,,,,,,,,
51537,,Captains Quarters,MDU,COA,57,1,3,607,,,,,,,,,,,,,,,,,,,,,
53935,,Oakwood Apartment Corp.,MDU,COA,114,1,7,,,,,,,,,,,,,,,,,,,,,
113862,,The Lofts at Maywood Park,MDU,COA,55,,,146,,,,,,,,,,,,,,,,,,,,,
172373,,The Lofts at Westinghouse,MDU,COA,62,1,3,412,R Brown Properties,,,,,,,,,,,,,,,,,,,,
439607,,"South Patrick Condominium Apartments, Inc",SFU,HOA,161,,,344,,,,,,,,,,,,,,,,,,,,,
446701,,Cross Creek Apartments,SFU,HOA,80,,1,,Advanced Precision,,,,,,,,,,,,,,,,,,,,
451366,,Lake Colony Apartments,MDU,COA,81,6,3,520,,,,,,,,,,,,,,,,,,,,,
124179,,Rye Colony Apartment,MDU,COA,,,,,,,,,,,,,,,,,,,,,,,,,,
