Group Number,RecordID,Address,Master_Property Name,Master_Units_50+
393,10179510,"51 NW 26th St, Miami, FL 33127",Sentral Wynwood,175
393,12629507,"51 NW 26th St, Miami, FL 33127",Sentral Wynwood,
394,5507178,"511 N Florida Ave, Deland, FL 32720-3415",,8
394,5507191,"511 N Florida Ave, Deland, FL 32720-3415",,16
394,5511557,"511 N Florida Ave, Deland, FL 32720-3415",,8
395,12246334,"513 Menendez St, Venice, FL 34285-2233",,3
395,5481945,"513 Menendez St, Venice, FL 34285-2233",,
396,19657858,"516 North Ave E, Westfield, NJ 07090-1581",The Franklin Westfield,40
396,19664580,"516 North Ave E, Westfield, NJ 07090-1581",The Franklin Westfield,40
397,12326945,"52 Brookside Dr, Greenwich, CT 06830",,8
397,1308519,"52 Brookside Dr, Greenwich, CT 06830",,4
398,10209770,"522 E Railroad St, Long Beach, MS 39560-4933",Friendship Oak Village,30
398,19865306,"522 E Railroad St, Long Beach, MS 39560-4933",Friendship Oak Village,61
399,10890398,"532 S Main St, Smithfield, UT 84335-2306",Birch Creek Assisted Living,
399,11245122,"532 S Main St, Smithfield, UT 84335-2306",Birch Creek Assisted Living,
400,4804186,"536 17th Ave S, Saint Petersburg, FL 33701-5831",Lakeside Colony Apartments,43
400,4804187,"536 17th Ave S, Saint Petersburg, FL 33701-5831",Lakeside Colony Apartments,
401,4591090,"5424 Corteen Pl, Valley Village, CA 91607",,28
401,6964716,"5424 Corteen Pl, Valley Village, CA 91607",,27
402,20841136,"5445 Transit Rd, Buffalo, NY 14221-2778",,81
402,20841720,"5445 Transit Rd, Buffalo, NY 14221-2778",,81
403,10532486,"5475 Wade Green Rd, Acworth, GA 30102-2311",Siegel Select Atlanta/Acworth,
403,12734472,"5475 Wade Green Rd, Acworth, GA 30102-2311",Siegel Select Atlanta/Acworth,100
404,21007041,"55 Eckford St, Brooklyn, NY 11222-4601",,21
404,7359363,"55 Eckford St, Brooklyn, NY 11222-4601",,21
405,11016946,"5500 Karl Rd, Columbus, OH 43229-3697",Oakleaf Village of Columbus,121
405,8974479,"5500 Karl Rd, Columbus, OH 43229-3697",Oakleaf Village of Columbus,
406,12258629,"551 18th St E, Bradenton, FL 34208",,4
406,12603645,"551 18th St E, Bradenton, FL 34208",,4
407,7333592,"551 SW Thomas St, Burleson, TX 76028-4555",Thomas Square Apartments,39
407,9411325,"551 SW Thomas St, Burleson, TX 76028-4555",Thomas Square Apartments,47
408,4525293,"5515 118th St, Jacksonville, FL 32244",Ortega Village,285
408,5946596,"5515 118th St, Jacksonville, FL 32244",Ortega Village,288
409,5395669,"5533 SW 18th St, West Park, FL 33023-3162",,3
409,5397346,"5533 SW 18th St, West Park, FL 33023-3162",,4
410,9361383,"555 Maple St, Lebanon, KY 40033-1074",Maple Street Apartments,56
410,9361391,"555 Maple St, Lebanon, KY 40033-1074",Maple Street Apartments,36
411,11517693,"5600 Boulder Hwy, Las Vegas, NV 89122-7202",Sportsman's Royal Manor,
411,8086505,"5600 Boulder Hwy, Las Vegas, NV 89122-7202",Sportsman's Royal Manor,316
412,5396609,"5619 Mckinley St, Hollywood, FL 33021-4503",,8
412,5396742,"5619 Mckinley St, Hollywood, FL 33021-4503",,8
412,5397085,"5619 Mckinley St, Hollywood, FL 33021-4503",,8
412,5397749,"5619 Mckinley St, Hollywood, FL 33021-4503",,8
413,5397275,"5635 Taft St, Hollywood, FL 33021-4526",,4
413,5397699,"5635 Taft St, Hollywood, FL 33021-4526",,4
413,5397741,"5635 Taft St, Hollywood, FL 33021-4526",,4
414,5395538,"5640 Taft St, Hollywood, FL 33021-4527",,2
414,5423049,"5640 Taft St, Hollywood, FL 33021-4527",,2
414,5423195,"5640 Taft St, Hollywood, FL 33021-4527",,2
414,5423543,"5640 Taft St, Hollywood, FL 33021-4527",,2
415,6580859,"5700 NW 27th Ct, Fort Lauderdale, FL 33313",,
415,6580875,"5700 NW 27th Ct, Fort Lauderdale, FL 33313",,
415,6580902,"5700 NW 27th Ct, Fort Lauderdale, FL 33313",,
416,1372690,"5712 Padre Blvd, South Padre Island, TX 78597",,6
416,6111085,"5712 Padre Blvd, South Padre Island, TX 78597",,6
417,5396601,"5721 Fletcher St, Hollywood, FL 33023-2322",,10
417,5397077,"5721 Fletcher St, Hollywood, FL 33023-2322",,10
418,5512033,"5803 Doyle St, Emeryville, CA 94608-2504",,10
418,5523042,"5803 Doyle St, Emeryville, CA 94608-2504",,3
419,12041010,"5851 Gray Market Dr, Lake Charles, LA 70605-3125",Verandah at Graywood,197
419,9435766,"5851 Gray Market Dr, Lake Charles, LA 70605-3125",Verandah at Graywood,
420,12213222,"586 Central Ave, East Orange, NJ 07018-1952",Central Flats,29
420,20942407,"586 Central Ave, East Orange, NJ 07018-1952",Central Flats,29
421,7022137,"5903 Permerland Dr, Louisville, KY 40219",,6
421,7027151,"5903 Permerland Dr, Louisville, KY 40219",,6
422,12730132,"5905 S Kings Hwy, Myrtle Beach, SC 29575",Myrtle Beach Resort,991
422,15771385,"5905 S Kings Hwy, Myrtle Beach, SC 29575",Myrtle Beach Resort,
423,22020951,"5915 Petersburg St, Anchorage, AK 99507-2018",,
423,22021015,"5915 Petersburg St, Anchorage, AK 99507-2018",,
424,10744583,"5990 W Flagler St, Miami, FL 33144-3371",,12
424,5458820,"5990 W Flagler St, Miami, FL 33144-3371",,12
425,11275500,"60 NE 27th St, Miami, FL 33137",Shepherd Eco Wynwood,
425,11350694,"60 NE 27th St, Miami, FL 33137",Shepherd Eco Wynwood,48
426,19849480,"600 Moonlight Bnd, Spicewood, TX 78669",Canyon Ranch Austin,
426,21082441,"600 Moonlight Bnd, Spicewood, TX 78669",Canyon Ranch Austin,
427,10881100,"600 N San Fernando Blvd, Burbank, CA 91502",,259
427,10881109,"600 N San Fernando Blvd, Burbank, CA 91502",,70
428,21476841,"600 Oakridge Blvd, Daytona Beach, FL 32118-3923",Balinese Cottages,12
428,8102479,"600 Oakridge Blvd, Daytona Beach, FL 32118-3923",Balinese Cottages,
429,10157563,"6001 W Flagler St, Miami, FL 33144-3241",,14
429,7844305,"6001 W Flagler St, Miami, FL 33144-3241",,5
430,5395426,"6012 SW 38th St, Miramar, FL 33023-5149",,7
430,5396554,"6012 SW 38th St, Miramar, FL 33023-5149",,7
431,5396139,"6014 SW 34th St, Miramar, FL 33023-5167",,2
431,5397385,"6014 SW 34th St, Miramar, FL 33023-5167",,2
431,5423074,"6014 SW 34th St, Miramar, FL 33023-5167",,2
431,5423356,"6014 SW 34th St, Miramar, FL 33023-5167",,2
432,1455216,"609 Golden Raintree Pl, Brandon, FL 33510",The Hamptons,204
432,20303140,"609 Golden Raintree Pl, Brandon, FL 33510",The Hamptons,51
433,5396778,"6106-6110 SW 27th St, Miramar, FL 33023-3916",,3
433,5423402,"6106-6110 SW 27th St, Miramar, FL 33023-3916",,4
434,5517558,"6122-6138 Cleveland St, Hollywood, FL 33024-6072",,4
434,5521883,"6122-6138 Cleveland St, Hollywood, FL 33024-6072",,4
434,5521891,"6122-6138 Cleveland St, Hollywood, FL 33024-6072",,4
434,5521915,"6122-6138 Cleveland St, Hollywood, FL 33024-6072",,4
434,5521918,"6122-6138 Cleveland St, Hollywood, FL 33024-6072",,4
435,5386003,"613 NW 7th Ave, Gainesville, FL 32601-5032",,4
435,5386287,"613 NW 7th Ave, Gainesville, FL 32601-5032",,3
436,11080772,"620 N 6th St, Bellevue, ID 83313-5174",,
436,11080781,"620 N 6th St, Bellevue, ID 83313-5174",,
437,11290965,"620 Queens Rd, Charlotte, NC 28207-1490",,5
437,7851880,"620 Queens Rd, Charlotte, NC 28207-1490",,9
438,11239929,"6200 W Fairfield Dr, Pensacola, FL 32506-3448",,19
438,9220363,"6200 W Fairfield Dr, Pensacola, FL 32506-3448",,
439,5395527,"6200 Washington St, Hollywood, FL 33023-1323",,5
439,5397692,"6200 Washington St, Hollywood, FL 33023-1323",,5
440,5397137,"6240 Dewey St, Hollywood, FL 33023-1823",,4
440,5423217,"6240 Dewey St, Hollywood, FL 33023-1823",,4
441,5466394,"626 W John Sims Pky, Valparaiso, FL 32580",,
441,5466583,"626 W John Sims Pky, Valparaiso, FL 32580",,
441,5478167,"626 W John Sims Pky, Valparaiso, FL 32580",,
442,5395704,"6304 SW 27th St, Miramar, FL 33023-3962",,5
442,5423462,"6304 SW 27th St, Miramar, FL 33023-3962",,5
443,5397482,"6314 SW 25th St, Miramar, FL 33023-2828",,1
443,5397586,"6314 SW 25th St, Miramar, FL 33023-2828",,6
444,15605240,"6330 SW 13th St, Gainesville, FL 32608",,6
444,15605244,"6330 SW 13th St, Gainesville, FL 32608",,7
445,11446445,"640 Braddock Ave, Braddock, PA 15104-1810",The Ohringer,37
445,18244025,"640 Braddock Ave, Braddock, PA 15104-1810",The Ohringer,37
446,11216576,"646 Canyon Rd, Novato, CA 94947-4346",Deer Park,85
446,6891488,"646 Canyon Rd, Novato, CA 94947-4346",Deer Park,
447,6135683,"6514 4th St, Lubbock, TX 79416",,
447,6135684,"6514 4th St, Lubbock, TX 79416",,
448,5388638,"6519 W Newberry Rd, Gainesville, FL 32605-4352",The Oaks Apartments,20
448,5389589,"6519 W Newberry Rd, Gainesville, FL 32605-4352",The Oaks Apartments,308
449,20896953,"6525 E Cave Creek Rd, Cave Creek, AZ 85331-8658",,5
449,20896968,"6525 E Cave Creek Rd, Cave Creek, AZ 85331-8658",,4
450,20805756,"6526 White Horse Rd, Greenville, SC 29611-2544",Emerald Commons,101
450,21081105,"6526 White Horse Rd, Greenville, SC 29611-2544",Emerald Commons,49
451,10188017,"6561 San Juan Ave, Jacksonville, FL 32210",,
451,6807475,"6561 San Juan Ave, Jacksonville, FL 32210",,
452,4272157,"6565 N 17th Ave, Phoenix, AZ 85015-1328",Palo Verde Apartments,16
452,4529342,"6565 N 17th Ave, Phoenix, AZ 85015-1328",Palo Verde Apartments,16
453,10372055,"66 Cedar Hill Ave, Nyack, NY 10960-3802",Pavion Apartments,137
453,13021357,"66 Cedar Hill Ave, Nyack, NY 10960-3802",Pavion Apartments,135
454,7385963,"6621 Strawberry Ln, Louisville, KY 40214",,4
454,7394223,"6621 Strawberry Ln, Louisville, KY 40214",,4
455,11260421,"6700 S Keating Ave, Chicago, IL 60629",Autumn Green at Midway Village,126
455,6952066,"6700 S Keating Ave, Chicago, IL 60629",Autumn Green at Midway Village,
456,10592240,"6706 Biggs Ct, Houston, TX 77061",,2
456,20243700,"6706 Biggs Ct, Houston, TX 77061",,2
457,7874816,"6722 Doniphan Dr, Canutillo, TX 79835",,17
457,7874825,"6722 Doniphan Dr, Canutillo, TX 79835",,5
458,11458841,"6745 Seacomber Dr, Port Aransas, TX 78373-4934",Sandpiper Resort Condominiums,
458,12663341,"6745 Seacomber Dr, Port Aransas, TX 78373-4934",Sandpiper Resort Condominiums,40
459,11441784,"676 Santa Rosa Blvd, Fort Walton Beach, FL 32548-6061",Island Echos,
459,12662595,"676 Santa Rosa Blvd, Fort Walton Beach, FL 32548-6061",Island Echos,30
460,13936578,"6766 Hawthorn Ave, Los Angeles, CA 90028",,58
460,13958928,"6766 Hawthorn Ave, Los Angeles, CA 90028",,58
461,9629245,"6792 Lake Rd W, Geneva, OH 44041-6811",,1
461,9629260,"6792 Lake Rd W, Geneva, OH 44041-6811",,1
461,9629275,"6792 Lake Rd W, Geneva, OH 44041-6811",,1
461,9629286,"6792 Lake Rd W, Geneva, OH 44041-6811",,1
461,9629299,"6792 Lake Rd W, Geneva, OH 44041-6811",,1
462,11216231,"68-1122 Na Ala Hele Rd, Kamuela, HI 96743-7788",The Golf Villas at Mauna Lani,87
462,7261343,"68-1122 Na Ala Hele Rd, Kamuela, HI 96743-7788",The Golf Villas at Mauna Lani,174
463,21542072,"6808 N Wayne Ave, Chicago, IL 60626-3718",,44
463,7614019,"6808 N Wayne Ave, Chicago, IL 60626-3718",,32
464,6120478,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390463,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390464,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390465,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390466,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390467,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390468,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390470,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390471,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390472,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390474,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390475,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390476,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390477,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390478,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390481,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390482,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390483,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390484,"684 Benicia Dr, Santa Rosa, CA 95409",,
464,6390485,"684 Benicia Dr, Santa Rosa, CA 95409",,
465,13976189,"6924 Chef Menteur Hwy, New Orleans, LA 70126",Delille Inn,51
465,7901698,"6924 Chef Menteur Hwy, New Orleans, LA 70126",Delille Inn,51
466,11295207,"694 Arlington Ave N, Saint Petersburg, FL 33701-3620",,10
466,14872942,"694 Arlington Ave N, Saint Petersburg, FL 33701-3620",,230
467,11482010,"698 NE 1st Ave, Miami, FL 33132-1805",Flow Miami,
467,15214512,"698 NE 1st Ave, Miami, FL 33132-1805",Flow Miami,422
468,11415599,"7 Green Mdws, Hahira, GA 31632",,1
468,11415605,"7 Green Mdws, Hahira, GA 31632",,2
469,12804640,"700 NE 45th St, Seattle, WA 98105",Victory at the U,110
469,20308332,"700 NE 45th St, Seattle, WA 98105",Victory at the U,29
470,11579352,"700 River St, Austin, TX 78701-4900",700 River,377
470,19693269,"700 River St, Austin, TX 78701-4900",700 River,377
471,8769712,"700 Simpson Rd, Anderson, SC 29621",,8
471,8769723,"700 Simpson Rd, Anderson, SC 29621",,16
472,12657706,"701 Russell Ave, Gaithersburg, MD 20877",,575
472,12657713,"701 Russell Ave, Gaithersburg, MD 20877",,225
473,11053414,"701 S 5th Ave, Maywood, IL 60153-2008",,22
473,1156386,"701 S 5th Ave, Maywood, IL 60153-2008",,20
474,9587008,"708 Olokele Ave, Honolulu, HI 96815",,4
474,9587009,"708 Olokele Ave, Honolulu, HI 96815",,4
474,9587012,"708 Olokele Ave, Honolulu, HI 96815",,6
475,10729447,"711 Courchelle Ct, Frankfort, KY 40601-1417",,2
475,10729461,"711 Courchelle Ct, Frankfort, KY 40601-1417",,2
475,10729534,"711 Courchelle Ct, Frankfort, KY 40601-1417",,2
475,10729546,"711 Courchelle Ct, Frankfort, KY 40601-1417",,12
475,10729552,"711 Courchelle Ct, Frankfort, KY 40601-1417",,2
475,10729559,"711 Courchelle Ct, Frankfort, KY 40601-1417",,2
476,5333087,"716 Main St, Smelterville, ID 83868",,9
476,6329424,"716 Main St, Smelterville, ID 83868",,10
477,9587005,"716 Olokele Ave, Honolulu, HI 96816",,7
477,9587006,"716 Olokele Ave, Honolulu, HI 96816",,4
477,9587007,"716 Olokele Ave, Honolulu, HI 96816",,6
477,9587013,"716 Olokele Ave, Honolulu, HI 96816",,4
478,11407536,"719 Biltmore Way, Coral Gables, FL 33134",,21
478,5458822,"719 Biltmore Way, Coral Gables, FL 33134",,12
479,11253377,"7205-7290 N Kendall Dr, Miami, FL 33156",Downtown Dadeland,416
479,7306025,"7205-7290 N Kendall Dr, Miami, FL 33156",Downtown Dadeland,364
480,18879847,"7209 S Orange Blossom Trl, Orlando, FL 32809-5718",Siegel Select Orlando,191
480,4703684,"7209 S Orange Blossom Trl, Orlando, FL 32809-5718",Siegel Select Orlando,
481,10626912,"7230 University Pky, Sarasota, FL 34240",Grand Living at Lakewood Ranch,70
481,20306698,"7230 University Pky, Sarasota, FL 34240",Grand Living at Lakewood Ranch,
482,6046018,"724 Olokele Ave, Honolulu, HI 96816",,19
482,9587745,"724 Olokele Ave, Honolulu, HI 96816",,4
482,9587747,"724 Olokele Ave, Honolulu, HI 96816",,5
483,11214471,"7289 Raleigh Millington Rd, Millington, TN 38053-3725",Millington Flats,84
483,12667391,"7289 Raleigh Millington Rd, Millington, TN 38053-3725",Millington Flats,80
484,10453456,"730 W Buena Vista Dr, Wendover, NV 89883",,12
484,8323316,"730 W Buena Vista Dr, Wendover, NV 89883",,63
485,4430954,"7312 194th Ave E, Bonney Lake, WA 98391-8534",,12
485,4826728,"7312 194th Ave E, Bonney Lake, WA 98391-8534",,12
486,6004872,"732 Olokele Ave, Honolulu, HI 96816",,14
486,9587742,"732 Olokele Ave, Honolulu, HI 96816",,4
487,9050023,"73655 Santa Rosa Way, Palm Desert, CA 92260",,20
487,9050031,"73655 Santa Rosa Way, Palm Desert, CA 92260",,10
488,6046002,"738 Olokele Ave, Honolulu, HI 96816",,16
488,9587011,"738 Olokele Ave, Honolulu, HI 96816",,5
489,10365893,"7450 Keller Rd, Cincinnati, OH 45243-1028",,
489,10365945,"7450 Keller Rd, Cincinnati, OH 45243-1028",,
490,1591263,"750 N 8th St, Sunbury, PA 17801",Riverview Apartments,46
490,6446647,"750 N 8th St, Sunbury, PA 17801",Riverview Apartments,46
491,5393541,"761 Camino Pescadero, Goleta, CA 93117-4620",,17
491,9369966,"761 Camino Pescadero, Goleta, CA 93117-4620",,33
492,12725224,"762 8th St, Elko, NV 89801-3470",,12
492,12725225,"762 8th St, Elko, NV 89801-3470",,12
493,10197621,"767 Moss Dr, Mesquite, NV 89027-1203",,2
493,10197646,"767 Moss Dr, Mesquite, NV 89027-1203",,2
494,11488614,"775 Gulf Shore Dr, Destin, FL 32541",Sandpiper Cove,
494,12667335,"775 Gulf Shore Dr, Destin, FL 32541",Sandpiper Cove,626
495,11457382,"790 New River Inlet Rd, North Topsail Beach, NC 28460-8280",Villa Capriani,118
495,11518101,"790 New River Inlet Rd, North Topsail Beach, NC 28460-8280",Villa Capriani,
496,13838732,"7950 Willows Rd, Redmond, WA 98052-6813",Redmond Heights Senior Living,93
496,8101545,"7950 Willows Rd, Redmond, WA 98052-6813",Redmond Heights Senior Living,
497,12674597,"8 E 67th St, New York, NY 10065-5825",,2
497,12717423,"8 E 67th St, New York, NY 10065-5825",,2
498,9609882,"801 South St, Honolulu, HI 96813",,1045
498,9609904,"801 South St, Honolulu, HI 96813",,410
499,19736062,"8049 S Maryland Ave, Chicago, IL 60619-4023",,29
499,5668534,"8049 S Maryland Ave, Chicago, IL 60619-4023",,29
500,8019002,"8050 Merrillville Rd, Merrillville, IN 46410",AHEPA 78 VI Senior Apartments,50
500,9403003,"8050 Merrillville Rd, Merrillville, IN 46410",AHEPA 78 VI Senior Apartments,50
501,4525721,"806 SW 2nd St, Hallandale Beach, FL 33009-5248",,9
501,4784544,"806 SW 2nd St, Hallandale Beach, FL 33009-5248",,9
502,11202882,"806 W 32nd St, Texarkana, TX 75503-4055",,6
502,11206339,"806 W 32nd St, Texarkana, TX 75503-4055",,6
503,10335907,"811 E Central Rd, Arlington Heights, IL 60005-3244",The Moorings of Arlington Heights,
503,21833608,"811 E Central Rd, Arlington Heights, IL 60005-3244",The Moorings of Arlington Heights,70
503,9479872,"811 E Central Rd, Arlington Heights, IL 60005-3244",The Moorings of Arlington Heights,
504,20943471,"816 Lilly Ave, Macon, GA 31204-6069",,1
504,20943476,"816 Lilly Ave, Macon, GA 31204-6069",,1
505,11082715,"819-833 Main St, Willimantic, CT 06226-2452",,140
505,7284525,"819-833 Main St, Willimantic, CT 06226-2452",,25
506,4697764,"820 NE 10th St, Hallandale Beach, FL 33009-2665",,7
506,6079270,"820 NE 10th St, Hallandale Beach, FL 33009-2665",,7
507,5386415,"823 NW 3rd Ave, Gainesville, FL 32601-5144",,2
507,5386459,"823 NW 3rd Ave, Gainesville, FL 32601-5144",,2
507,5386503,"823 NW 3rd Ave, Gainesville, FL 32601-5144",,2
508,12677631,"825 N 20th St, Philadelphia, PA 19130",,3
508,12677636,"825 N 20th St, Philadelphia, PA 19130",,3
509,5537663,"827-829 10th Ave, New York, NY 10019-5028",,44
509,5670361,"827-829 10th Ave, New York, NY 10019-5028",,47
510,8924870,"830 Holt Rd, Webster, NY 14580-9208",The Legends at North Ponds,114
510,8930740,"830 Holt Rd, Webster, NY 14580-9208",The Legends at North Ponds,45
511,11239860,"830 SW 9th St, Gainesville, FL 32601-7859",,3
511,11239899,"830 SW 9th St, Gainesville, FL 32601-7859",,3
512,12210344,"836-840 18th St NE, Washington, DC 20002-6930",,6
512,12631645,"836-840 18th St NE, Washington, DC 20002-6930",,38
513,7267801,"846 Kanoa St, Honolulu, HI 96817",,14
513,9567770,"846 Kanoa St, Honolulu, HI 96817",,12
514,5912732,"86-92 School St, Springfield, MA 01105-1336",Maple Commons,173
514,5915691,"86-92 School St, Springfield, MA 01105-1336",Maple Commons,173
515,20216176,"860 E Brown Rd, Mesa, AZ 85203-4933",,4
515,21285106,"860 E Brown Rd, Mesa, AZ 85203-4933",,4
516,8224877,"8600 Skyline Dr, Dallas, TX 75243-4198",Presbyterian Village North,
516,9945820,"8600 Skyline Dr, Dallas, TX 75243-4198",Presbyterian Village North,
517,7408269,"8604 Standing Oak Dr, Louisville, KY 40258",,4
517,7411987,"8604 Standing Oak Dr, Louisville, KY 40258",,3
518,12685225,"870 Haverford Ave, Pacific Palisades, CA 90272-4373",,14
518,798734,"870 Haverford Ave, Pacific Palisades, CA 90272-4373",,15
519,10448533,"87735 Highway 101, Florence, OR 97439-8841",,47
519,10589718,"87735 Highway 101, Florence, OR 97439-8841",,47
520,10151412,"88 Page St, Lynchburg, VA 24501-1503",,4
520,11442889,"88 Page St, Lynchburg, VA 24501-1503",,4
521,12457919,"88 S Water St, Greenwich, CT 06830-6894",Greenwich Landing,14
521,9398308,"88 S Water St, Greenwich, CT 06830-6894",Greenwich Landing,20
522,20903999,"880 71st St, Miami Beach, FL 33141",,100
522,5835134,"880 71st St, Miami Beach, FL 33141",,
523,13095050,"8801 Glencrest St, Houston, TX 77061-3069",8801 Glencrest Apartments,322
523,21519365,"8801 Glencrest St, Houston, TX 77061-3069",8801 Glencrest Apartments,322
524,10210473,"8931-8935 Marks St, El Paso, TX 79904-1565",,4
524,6621247,"8931-8935 Marks St, El Paso, TX 79904-1565",,8
525,12717435,"9 E 64th St, New York, NY 10065-7002",,3
525,4498826,"9 E 64th St, New York, NY 10065-7002",,5
526,19841743,"900 S Peninsula Dr, Daytona Beach, FL 32118",Newport Condominiums,18
526,6099592,"900 S Peninsula Dr, Daytona Beach, FL 32118",Newport Condominiums,39
527,5385686,"902 SW 7th Ave, Gainesville, FL 32601-6497",,8
527,5385801,"902 SW 7th Ave, Gainesville, FL 32601-6497",,8
527,5385991,"902 SW 7th Ave, Gainesville, FL 32601-6497",,8
527,5386536,"902 SW 7th Ave, Gainesville, FL 32601-6497",,8
527,5386669,"902 SW 7th Ave, Gainesville, FL 32601-6497",,8
527,5386772,"902 SW 7th Ave, Gainesville, FL 32601-6497",,8
528,12263924,"908 W 22nd St, Austin, TX 78705-5473",,2
528,21933375,"908 W 22nd St, Austin, TX 78705-5473",,300
529,12674247,"908 W Argyle St, Chicago, IL 60640-3806",The Selfhelp Home,
529,12687597,"908 W Argyle St, Chicago, IL 60640-3806",The Selfhelp Home,72
530,11321366,"910-938 Custer Ave, Evanston, IL 60202",,40
530,20994223,"910-938 Custer Ave, Evanston, IL 60202",,230
531,5452486,"9100 N Kendall Dr, Miami, FL 33176-2121",,
531,5456408,"9100 N Kendall Dr, Miami, FL 33176-2121",,
532,10014724,"914 S Fifth St, Mebane, NC 27302-3239",The Acorn Suites,
532,20237034,"914 S Fifth St, Mebane, NC 27302-3239",The Acorn Suites,30
533,11168279,"919 Greenbrier Rd, Dekalb, IL 60115-1618",,24
533,19776966,"919 Greenbrier Rd, Dekalb, IL 60115-1618",,24
534,5385981,"919 SW 5th Ave, Gainesville, FL 32601-6452",,3
534,5386329,"919 SW 5th Ave, Gainesville, FL 32601-6452",,2
535,10539047,"92 Monroe Pl, Bloomfield, NJ 07003-3545",,23
535,4193545,"92 Monroe Pl, Bloomfield, NJ 07003-3545",,53
536,12671749,"9350 W Interstate 10, San Antonio, TX 78230",Siegel Select San Antonio,113
536,1295506,"9350 W Interstate 10, San Antonio, TX 78230",Siegel Select San Antonio,
537,9625699,"94-819 Farrington Hwy, Waipahu, HI 96797",,4
537,9625701,"94-819 Farrington Hwy, Waipahu, HI 96797",,4
538,12693753,"9400 Coastal Hwy, Ocean City, MD 21842",,164
538,12722743,"9400 Coastal Hwy, Ocean City, MD 21842",,166
539,14905448,"9495 Atlee Rd, Mechanicsville, VA 23116-2561",Sancerre Atlee Station,
539,20275013,"9495 Atlee Rd, Mechanicsville, VA 23116-2561",Sancerre Atlee Station,103
540,8239729,"9525 Semiahmoo Pky, Blaine, WA 98230",,18
540,8309122,"9525 Semiahmoo Pky, Blaine, WA 98230",,38
540,8309134,"9525 Semiahmoo Pky, Blaine, WA 98230",,18
541,5466708,"96 Josie Rd, Mary Esther, FL 32569-1552",,4
541,5467710,"96 Josie Rd, Mary Esther, FL 32569-1552",,4
541,5468179,"96 Josie Rd, Mary Esther, FL 32569-1552",,6
541,5476393,"96 Josie Rd, Mary Esther, FL 32569-1552",,3
541,5476663,"96 Josie Rd, Mary Esther, FL 32569-1552",,5
541,5476882,"96 Josie Rd, Mary Esther, FL 32569-1552",,4
542,11127196,"9705 E Hibiscus St, Palmetto Bay, FL 33157-5606",,105
542,11127874,"9705 E Hibiscus St, Palmetto Bay, FL 33157-5606",,
543,12636462,"9740 Luan Dr, Mascoutah, IL 62258-1189",Falcon Place Townhomes,144
543,20840590,"9740 Luan Dr, Mascoutah, IL 62258-1189",Falcon Place Townhomes,64
544,5498250,"981 N Vulcan Ave, Encinitas, CA 92024-1720",,12
544,5498295,"981 N Vulcan Ave, Encinitas, CA 92024-1720",,12
545,10360975,"9840 Montgomery Rd, Cincinnati, OH 45242-6255",Twin Lakes,
545,7975758,"9840 Montgomery Rd, Cincinnati, OH 45242-6255",Twin Lakes,
546,11556969,"99 Washington St, Melrose, MA 02176-6024",Windsor Radio Factory,141
546,8919465,"99 Washington St, Melrose, MA 02176-6024",Windsor Radio Factory,353
547,20978053,"998 Church St, Ventura, CA 93001-2066",Hawaiian Village Apartments,52
547,5845131,"998 Church St, Ventura, CA 93001-2066",Hawaiian Village Apartments,52
548,7704034,"Hyde Park Ave, Columbia, MO 65201",Lakeside Apartments,8
548,7704063,"Hyde Park Ave, Columbia, MO 65201",Lakeside Apartments,8
549,7224279,"N 18th St E, Mountain Home, ID 83647",,4
549,7224282,"N 18th St E, Mountain Home, ID 83647",,4
550,16319026,"Old Country Rd 50, Clermont, FL 34711",,342
550,16319051,"Old Country Rd 50, Clermont, FL 34711",,192
551,11984260,"Oxon Hill Farm Rd, Oxon Hill, MD 20745",,1400
551,11984271,"Oxon Hill Farm Rd, Oxon Hill, MD 20745",,
551,11984292,"Oxon Hill Farm Rd, Oxon Hill, MD 20745",,
551,12452933,"Oxon Hill Farm Rd, Oxon Hill, MD 20745",,
551,12452941,"Oxon Hill Farm Rd, Oxon Hill, MD 20745",,
552,19209607,"Russell & Deer St, Portsmouth, NH 03801",,56
552,19209637,"Russell & Deer St, Portsmouth, NH 03801",,28
553,5505804,"S Florida Ave, Deland, FL 32720",,
553,5508218,"S Florida Ave, Deland, FL 32720",,
554,21652838,"Skyline Blvd, Cape Coral, FL 33914",,2
