MDU,HW_Property Name,Address,RecordID,Zip
"F0391, F0392",1 HOTEL SOUTH BEACH RESIDENTIA,"2399 Collins Avenue, Miami Beach, FL 33139-1619, USA",040582296,33139
F0628,1000 MUSEUM,"1000 Biscayne Boulevard, Miami, FL 33132-1760, USA",000580189,33132
F0472,101 VIA MIZNER,"101 East Camino Real, Boca Raton, FL 33432-6167, USA",001211699,33432
F0536,111 FIRST DELRAY BEACH,"111 Southeast 1st Avenue, Delray Beach, FL 33444-3676, USA",006600085,33444
